track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:0UKSNwv71UBKFXsFTCwJ1Z,20,0.741,0.338,0.036,5.15e-05,"(0.117,)",-11.275,96.048,0.226
spotify:track:2C5gXqpqVeaGkQEq7MPobw,42,0.624,0.282,0.217,0.859,"(0.109,)",-11.275,78.856,0.346
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,89,0.556,0.864,0.0584,0.0,"(0.209,)",-5.87,105.143,0.4
spotify:track:57riAzioKDOxYyGGzgUnZQ,48,0.708,0.649,0.0878,0.0,"(0.204,)",-7.174,87.999,0.578
spotify:track:1m3qFOyT5u01Yd2WBVX0cI,50,0.506,0.875,0.0478,7.32e-06,"(0.167,)",-6.264,130.009,0.306
spotify:track:4RJuvzkw2M8IVLcVHLENee,40,0.573,0.181,0.0302,2.23e-05,"(0.101,)",-12.071,157.569,0.0995
spotify:track:4KYJbHCVXLU7rnAgcEz7qq,21,0.847,0.326,0.0399,1.06e-06,"(0.103,)",-9.694,104.022,0.526
spotify:track:6FbUP0GLnXcQ4i8OqJb1qi,28,0.594,0.322,0.0317,6.59e-05,"(0.116,)",-9.694,121.875,0.22
spotify:track:49F3htNmwzPKFycPdOrDvf,79,0.649,0.683,0.0424,0.0,"(0.118,)",-6.49,130.0,0.381
spotify:track:5LH4h1otrgQbVPCxprUmmq,16,0.355,0.269,0.118,0.0,"(0.265,)",-14.556,67.663,0.279
spotify:track:7FKkswFflI5Txc3Y4gH0IB,71,0.576,0.467,0.0305,0.0,"(0.13,)",-6.435,86.011,0.234
spotify:track:16MJqq0vEuW6GRX6faetTm,68,0.747,0.706,0.0413,0.00355,"(0.174,)",-4.653,94.019,0.567
spotify:track:3djksanOn8sJGbAtm2TMeN,0,0.555,0.619,0.0296,0.0,"(0.265,)",-5.246,136.069,0.426
spotify:track:0Cepce8SQo4NIoFinlDWD6,26,0.647,0.432,0.235,0.0,"(0.095,)",-11.681,146.153,0.667
spotify:track:5djF7Roo7NbPkH8JG4PgRv,39,0.614,0.599,0.0386,0.0,"(0.0776,)",-7.41,115.02,0.239
spotify:track:2Ubqp2S6nODeSLPZboGxA3,0,0.509,0.295,0.0263,0.0,"(0.357,)",-4.819,90.057,0.0799
spotify:track:4dVbhS6OiYvFikshyaQaCN,80,0.398,0.927,0.0567,0.000177,"(0.0575,)",-4.212,77.106,0.311
spotify:track:6PwVnlNwVKGD18lWNCh1It,58,0.422,0.274,0.0348,0.92,"(0.0496,)",-17.272,128.018,0.0492
spotify:track:11Z7DsmzTwKIEbSSnPwH1C,0,0.665,0.542,0.033,0.00291,"(0.342,)",-8.323,97.975,0.587
spotify:track:0wVluBsVAVzBKrqspuCcwR,72,0.352,0.912,0.0725,0.0,"(0.193,)",-4.253,166.795,0.351
